                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6286,                 4.4163,                 2.1084,                 1.4409,                0.41093,                0.18931,                0.18345,                0.08937,                0.25927,                0.14891,                0.09144,                  0.029,                 1.8695,                 4.6151,                 2.2841,                 1.9945,             0.00055206,             0.00055206,             0.00055206
                      2,                 1.6889,                 4.1315,                 1.7389,                 1.4284,                0.36711,                0.19373,                0.15289,                0.06236,                 0.2568,                0.15997,                0.09888,                0.03289,                 2.0158,                 4.8642,                 2.6281,                 1.9049,              0.0010968,              0.0010968,              0.0010968
                      3,                 1.6687,                 4.1359,                 1.6785,                 1.4368,                0.41053,                0.23312,                0.18755,                0.08223,                0.27543,                0.16238,                0.10268,                0.03234,                 1.6872,                 4.4477,                 2.6354,                 1.5865,              0.0016305,              0.0016305,              0.0016305
                      4,                 1.6358,                 4.0793,                 1.5706,                 1.4161,                0.45696,                0.23091,                 0.2146,                0.10317,                0.34129,                 0.1871,                0.14069,                0.04815,                 1.5325,                 4.4611,                 2.1691,                 1.4867,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.6318,                 4.1819,                 1.5362,                  1.395,                0.51075,                0.24618,                0.25627,                 0.1282,                0.36692,                0.18951,                0.14902,                0.05314,                 1.5927,                 4.4571,                 1.7867,                 1.4774,               0.001601,               0.001601,               0.001601
                      6,                 1.5909,                 3.9804,                 1.5143,                  1.383,                0.45699,                0.26447,                0.25858,                 0.1461,                0.32017,                0.18388,                0.13582,                0.04791,                 1.3707,                 4.3088,                 1.7395,                 1.3019,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.5651,                 3.9591,                 1.4924,                 1.3889,                0.42467,                0.24268,                0.20467,                0.09953,                0.33774,                0.21604,                0.15908,                0.05947,                 1.3565,                 4.3741,                 2.4472,                 1.3402,               0.001568,               0.001568,               0.001568
                      8,                 1.5432,                 4.0705,                 1.4613,                 1.3643,                0.46488,                0.24558,                0.24433,                0.12912,                0.33179,                0.19413,                0.13883,                0.04713,                 1.4211,                 4.4807,                 1.6662,                 1.3872,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.5189,                 3.8651,                 1.4545,                 1.3698,                0.39956,                0.23895,                0.23261,                0.14659,                0.30748,                0.18388,                0.12226,                0.04233,                 1.3512,                 4.2111,                 1.5898,                 1.3084,               0.001535,               0.001535,               0.001535
                     10,                 1.5451,                 3.8605,                 1.4356,                 1.3331,                0.44086,                0.26065,                0.25801,                0.15403,                0.32103,                0.19374,                0.13127,                0.04839,                  1.288,                 4.2838,                 1.6247,                  1.284,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.4745,                 3.8522,                 1.3898,                 1.3476,                0.44887,                0.26085,                0.25193,                0.14835,                0.33277,                0.20619,                0.14938,                0.05474,                 1.3602,                 4.1893,                 1.5362,                 1.2813,               0.001502,               0.001502,               0.001502
                     12,                 1.4668,                 3.7921,                 1.3971,                 1.3179,                 0.4832,                0.27492,                0.27281,                 0.1602,                0.34065,                0.19514,                0.13237,                0.04799,                 1.2545,                 4.2317,                 1.4879,                  1.189,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.4939,                 3.8172,                 1.4124,                 1.3301,                0.46517,                0.24377,                0.24817,                0.14231,                0.34324,                 0.1867,                0.14113,                0.05093,                 1.4136,                 4.3923,                 1.9066,                 1.3371,               0.001469,               0.001469,               0.001469
                     14,                 1.4491,                  3.799,                 1.3695,                 1.3258,                0.52379,                 0.2763,                0.28114,                0.14646,                0.34183,                 0.1886,                0.12831,                 0.0448,                 1.5096,                 4.2445,                 1.5971,                 1.4117,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.4626,                 3.7455,                 1.3587,                 1.3122,                0.51215,                0.24558,                 0.2569,                 0.1576,                0.34325,                 0.1885,                0.13368,                0.04778,                 1.1769,                 4.1511,                 1.4696,                  1.199,               0.001436,               0.001436,               0.001436
                     16,                 1.4451,                 3.7342,                 1.3474,                 1.3054,                0.51999,                0.28236,                0.29097,                0.17392,                0.39373,                0.23111,                0.17354,                0.06151,                 1.2251,                  4.053,                 1.3816,                  1.204,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.4201,                 3.7309,                 1.3469,                  1.318,                0.51205,                0.27648,                  0.282,                0.16416,                0.39252,                0.22146,                 0.1702,                0.06292,                 1.2585,                 4.1086,                 1.4869,                 1.2465,              0.0014029,              0.0014029,              0.0014029
                     18,                  1.426,                 3.7162,                 1.3413,                 1.3126,                0.49952,                0.28919,                0.28275,                0.16172,                0.38105,                0.21865,                 0.1736,                0.06489,                 1.2691,                 4.1253,                 1.5918,                  1.268,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.4201,                 3.7644,                 1.3503,                 1.3135,                0.50963,                0.29783,                0.29969,                0.17874,                0.38994,                0.23814,                0.17939,                0.06673,                 1.2381,                 4.1455,                 1.2938,                   1.23,              0.0013699,              0.0013699,              0.0013699
